geo_name,geo_sumlevel,geo_id,income_below_poverty_2013,income_below_poverty_2014,income_below_poverty_2015,income_below_poverty:pop_poverty_status_2013,income_below_poverty:pop_poverty_status_2014,income_below_poverty:pop_poverty_status_2015,income_below_poverty:pop_poverty_status_2016,income_below_poverty_2016,pop_poverty_status_2013,pop_poverty_status_2014,pop_poverty_status_2015,pop_poverty_status_2016
"Archuleta County, CO",county,05000US08007,1161,1327,1405,0.096951983298539,0.110694027360694,0.116907971376269,0.112121212121212,1369,11975,11988,12018,12210
"Baca County, CO",county,05000US08009,551,588,736,0.151623555310952,0.162655601659751,0.204728789986092,0.179960261141073,634,3634,3615,3595,3523
"Bent County, CO",county,05000US08011,782,703,923,0.191385217816936,0.183646812957158,0.256104328523862,0.252476572958501,943,4086,3828,3604,3735
"Boulder County, CO",county,05000US08013,41412,43057,42167,0.142117346676138,0.14582543080091,0.14057494140905,0.13431954809116,40732,291393,295264,299961,303247
"Broomfield County, CO",county,05000US08014,4032,3717,3930,0.070897293875613,0.063366235360303,0.065240126828135,0.05906989481145,3667,56871,58659,60239,62079
"Chaffee County, CO",county,05000US08015,1358,1480,1502,0.080383568130697,0.08716136631331,0.087203901532745,0.096188121658138,1673,16894,16980,17224,17393
"Cheyenne County, CO",county,05000US08017,154,182,168,0.071929005137786,0.086707956169605,0.086153846153846,0.113310242454231,229,2141,2099,1950,2021
"Clear Creek County, CO",county,05000US08019,909,828,748,0.102457168620379,0.09257602862254,0.083398372170811,0.074493838028169,677,8872,8944,8969,9088
"Conejos County, CO",county,05000US08021,1585,1522,1491,0.194192599852977,0.186109073123013,0.182698198750153,0.220957277512547,1805,8162,8178,8161,8169
"Costilla County, CO",county,05000US08023,784,893,850,0.22190772714407,0.24958077138066,0.237363864842223,0.304178272980501,1092,3533,3578,3581,3590
"Crowley County, CO",county,05000US08025,1157,1137,1449,0.29063049485054,0.283399800598205,0.333640340778264,0.341176470588235,1479,3981,4012,4343,4335
"Custer County, CO",county,05000US08027,613,746,736,0.14647550776583,0.176777251184834,0.17444892154539,0.179368029739777,772,4185,4220,4219,4304
"Delta County, CO",county,05000US08029,4576,4738,4716,0.15502405312013,0.162421583079085,0.162536618990177,0.168394228451393,4890,29518,29171,29015,29039
"Denver County, CO",county,05000US08031,116284,113930,110299,0.191496894952053,0.183401319369098,0.173174779368935,0.163976103683836,106745,607237,621206,636923,650979
"Dolores County, CO",county,05000US08033,253,347,398,0.148648648648649,0.200810185185185,0.214902807775378,0.193404136389044,346,1702,1728,1852,1789
"Douglas County, CO",county,05000US08035,11248,12240,12110,0.038523846219711,0.040973042817499,0.039588359518532,0.037722285765404,11807,291975,298733,305898,312998
"Eagle County, CO",county,05000US08037,5666,5166,4780,0.109217780176568,0.099647011168335,0.091669223688248,0.080667885157262,4237,51878,51843,52144,52524
"Elbert County, CO",county,05000US08039,1503,1712,1649,0.06491599360774,0.073199931588849,0.069575123412514,0.050697558545092,1221,23153,23388,23701,24084
"El Paso County, CO",county,05000US08041,76520,78493,75033,0.124293418231434,0.125153466183228,0.117739824691893,0.112829721572742,73012,615640,627174,637278,647099
"Fremont County, CO",county,05000US08043,6262,6274,6272,0.176478877208804,0.17569308316998,0.173729987258324,0.165651778579891,6012,35483,35710,36102,36293
"Garfield County, CO",county,05000US08045,6598,6503,6786,0.118549662210723,0.116949914576027,0.121143958868895,0.110995134896064,6274,55656,55605,56016,56525
"Gilpin County, CO",county,05000US08047,589,568,413,0.108471454880295,0.103160188884853,0.074387608069164,0.070809248554913,392,5430,5506,5552,5536
"Grand County, CO",county,05000US08049,1602,1736,1543,0.11103410036041,0.120597429663077,0.107646155992745,0.105910987482615,1523,14428,14395,14334,14380
"Gunnison County, CO",county,05000US08051,2545,2570,2509,0.177068113824532,0.176620163562642,0.169492670404648,0.153718679570463,2319,14373,14551,14803,15086
"Hinsdale County, CO",county,05000US08053,41,65,70,0.050679851668727,0.074626865671642,0.080091533180778,0.11214953271028,96,809,871,874,856
"Huerfano County, CO",county,05000US08055,1265,1224,1171,0.206429503916449,0.198186528497409,0.185314131982909,0.170727872975947,1086,6128,6176,6319,6361
"Jackson County, CO",county,05000US08057,121,203,155,0.089364844903988,0.147421931735657,0.116629044394281,0.137692307692308,179,1354,1377,1329,1300
"Jefferson County, CO",county,05000US08059,45991,47009,46423,0.086445510814382,0.087499464866384,0.085450592979957,0.081201806384938,44629,532023,537249,543273,549606
"Kiowa County, CO",county,05000US08061,243,203,189,0.17394416607015,0.147101449275362,0.131799163179916,0.106870229007634,154,1397,1380,1434,1441
"Kit Carson County, CO",county,05000US08063,1027,1135,1157,0.138335129310345,0.15533050499521,0.164113475177305,0.142012647786637,1033,7424,7307,7050,7274
"Lake County, CO",county,05000US08065,1032,872,833,0.14349276974416,0.121736702498953,0.115405929620393,0.115230875258442,836,7192,7163,7218,7255
"La Plata County, CO",county,05000US08067,5687,5609,5432,0.113533369267932,0.110930917864842,0.105858050434579,0.107100273087426,5569,50091,50563,51314,51998
